	|||		|||	
penguins can ~not fly	|||	n|penguin-PL mod|can neg|~not v|fly	|||	penguins can 't fly
the fish stopped	|||	det;art|the n|fish v|stop-PAST	|||	the fish stopped
what kind of monster	|||	pro;int|what n|kind prep|of n|monster	|||	what kind of monster
is she sitting up or is she in the bed or is she outside	|||	cop|be-3S pro;sub|she part|sit-PRESP adv|up coord|or cop|be-3S pro;sub|she prep|in det;art|the n|bed coord|or cop|be-3S pro;sub|she adv|outside	|||	is she sitting up or is she in the bed or is she outside
no why d you want to	|||	co|no adv;int|why mod|do pro;per|you v|want prep|to	|||	no why d you want to
oh are you eating a cookie	|||	co|oh aux|be-PRES pro;per|you part|eat-PRESP det;art|a n|cookie	|||	oh are you eating a cookie
shall we blow it bigger	|||	mod|shall pro;sub|we v|blow pro;per|it adj|big-CP	|||	shall we blow it bigger
that too small	|||	pro;dem|that adv|too adj|small	|||	that too small
did you tell her about your visit to the pet shop	|||	v|do-PAST pro;per|you v|tell pro;obj|her prep|about det;poss|your n|visit prep|to det;art|the n|pet n|shop	|||	did you tell her about your visit to the pet shop
what did you get all over your face and hands	|||	pro;int|what mod|do-PAST pro;per|you v|get adv|all prep|over det;poss|your n|face coord|and n|hand-PL	|||	what did you get all over your face and hands
from the park	|||	prep|from det;art|the n|park	|||	from the park
no try it on the other side	|||	co|no v|try pro;per|it prep|on det;art|the qn|other n|side	|||	no try it on the other side
he ~be going out	|||	pro;sub|he aux|~be part|go-PRESP adv|out	|||	he 's going out
Cecile what Adam	|||	n;prop|Cecile pro;int|what n;prop|Adam	|||	Cecile what Adam
with a big chin	|||	prep|with det;art|a adj|big n|chin	|||	with a big chin
Susy is at her home	|||	n;prop|Susy cop|be-3S prep|at det;poss|her n|home	|||	Susy is at her home
well is the sun shining	|||	co|well cop|be-3S det;art|the n|sun part|shine-PRESP	|||	well is the sun shining
did you pay for the gas	|||	v|do-PAST pro;per|you v|pay prep|for det;art|the n|gas	|||	did you pay for the gas
nose nose anything goes	|||	n|nose n|nose pro;indef|anything v|go-3S	|||	nose nose anything goes
for what kind of pistol	|||	conj|for pro;int|what n|kind prep|of n|pistol	|||	for what kind of pistol
I can ~not catch but one	|||	pro;sub|I mod|can neg|~not v|catch conj|but pro;indef|one	|||	I can 't catch but one
I ~will hold this while you draw a straight line	|||	pro;sub|I mod|~will v|hold pro;dem|this n|while pro;per|you v|draw det;art|a adj|straight n|line	|||	I 'll hold this while you draw a straight line
how do you ride on them then	|||	adv;int|how v|do pro;per|you v|ride prep|on pro;obj|them adv;tem|then	|||	how do you ride on them then
did you try	|||	v|do-PAST pro;per|you v|try	|||	did you try
no nothing on either side that ~be right	|||	qn|no pro;indef|nothing prep|on qn|either n|side pro;rel|that cop|~be co|right	|||	no nothing on either side that 's right
Adam d you want to see some of the things I brought	|||	n;prop|Adam v|do pro;per|you v|want inf|to v|see qn|some prep|of det;art|the n|thing-PL pro;sub|I v|bring-PAST	|||	Adam d you want to see some of the things I brought
what ~be the governor ~s name	|||	pro;int|what aux|~be det;art|the n|governor poss|~s n|name	|||	what 's the governor 's name
because Urs can ~not hear the tape when it ~be on	|||	conj|because n;prop|Ursula mod|can neg|~not v|hear det;art|the n|tape conj|when pro;per|it cop|~be adv|on	|||	because Urs can 't hear the tape when it 's on
a dozen eggs	|||	det;art|a n|dozen n|egg-PL	|||	a dozen eggs
you want to ride the truck	|||	pro;per|you v|want inf|to v|ride det;art|the n|truck	|||	you want to ride the truck
just sitting here waiting for you to finish your water	|||	adv|just part|sit-PRESP adv|here part|wait-PRESP prep|for pro;per|you inf|to v|finish det;poss|your n|water	|||	just sitting here waiting for you to finish your water
what d you think it will be like	|||	pro;int|what mod|do pro;per|you v|think pro;per|it mod|will cop|be prep|like	|||	what d you think it will be like
what kind of fish are you going to get	|||	pro;int|what n|kind prep|of n|fish cop|be-PRES pro;per|you part|go-PRESP inf|to v|get	|||	what kind of fish are you going to get
a very exasperated voice so I will ~not ask you any more question	|||	det;art|a adv|very part|exasperate-PASTP n|voice co|so pro;sub|I mod|will neg|~not v|ask pro;per|you qn|any qn|more n|question	|||	a very exasperated voice so I won 't ask you any more question
with a merry+go+round	|||	prep|with det;art|a n|merry+go+round	|||	with a merry
can you make some fish under the water	|||	mod|can pro;per|you v|make pro;indef|some n|fish prep|under det;art|the n|water	|||	can you make some fish under the water
whose mitten is that	|||	pro;rel|whose n|mitten cop|be-3S pro;dem|that	|||	whose mitten is that
Adam will give it to you	|||	n;prop|Adam mod|will v|give pro;per|it prep|to pro;per|you	|||	Adam will give it to you
Paul would like red	|||	n;prop|Paul mod|will-COND co|like adj|red	|||	Paul would like red
yes that ~be yours	|||	co|yes pro;dem|that cop|~be pro;poss|yours	|||	yes that 's yours
alright but then we need a scissors	|||	adj|alright conj|but adv;tem|then pro;sub|we v|need det;art|a n|scissors	|||	alright but then we need a scissors
he was just crying	|||	pro;sub|he cop|be-PAST adv|just part|cry-PRESP	|||	he was just crying
you ~will hurt the suitcase too	|||	pro;per|you mod|~will v|hurt-ZERO det;art|the n|suitcase post|too	|||	you 'll hurt the suitcase too
you see it	|||	pro;per|you v|see pro;per|it	|||	you see it
those are Cinderella ~s sisters trying the slipper on	|||	pro;dem|those cop|be-PRES n;prop|Cinderella poss|~s n|sister-PL part|try-PRESP det;art|the n|slipper adv|on	|||	those are Cinderella 's sisters trying the slipper on
see you hold it down like this	|||	v|see pro;per|you v|hold pro;per|it adv|down prep|like pro;dem|this	|||	see you hold it down like this
when you take it off it do ~not go back so well because some of the glue comes off	|||	conj|when pro;per|you v|take pro;per|it prep|off pro;per|it mod|do neg|~not v|go adv|back adv|so adv|well conj|because qn|some prep|of det;art|the n|glue v|come-3S adv|off	|||	when you take it off it doesn 't go back so well because some of the glue comes off
poor Jocko	|||	adj|poor n;prop|Jocko	|||	poor Jocko
there where your hand is	|||	adv|there adv;int|where det;poss|your n|hand cop|be-3S	|||	there where your hand is
you plug this in	|||	pro;per|you v|plug pro;dem|this adv|in	|||	you plug this in
d you want me to what	|||	mod|do pro;per|you v|want pro;obj|me prep|to pro;int|what	|||	d you want me to what
you dropped your mitten	|||	pro;per|you v|drop-PAST det;poss|your n|mitten	|||	you dropped your mitten
oh he ~be going to eat outside	|||	co|oh pro;sub|he aux|~be part|go-PRESP inf|to v|eat adv|outside	|||	oh he 's going to eat outside
the big tow truck ~be picking Joshua ~s dirt up	|||	det;art|the adj|big n|tow n|truck aux|~be part|pick-PRESP n;prop|Joshua poss|~s n|dirt adv|up	|||	the big tow truck 's picking Joshua 's dirt up
why would you put it on the door	|||	adv;int|why mod|will-COND pro;per|you v|put-ZERO pro;per|it prep|on det;art|the n|door	|||	why would you put it on the door
turning a somersault	|||	part|turn-PRESP det;art|a n|somersault	|||	turning a somersault
where did you see boats	|||	adv;int|where mod|do-PAST pro;per|you v|see n|boat-PL	|||	where did you see boats
what d you use razors for	|||	pro;int|what mod|do pro;per|you v|use n|razor-PL prep|for	|||	what d you use razors for
all dressed up to go nowhere	|||	post|all v|dress-PAST adv|up inf|to v|go n|nowhere	|||	all dressed up to go nowhere
well he will ~not like to play with you if you keep doing things like that to him	|||	co|well pro;sub|he mod|will neg|~not v|like inf|to v|play prep|with pro;per|you conj|if pro;per|you v|keep part|do-PRESP n|thing-PL prep|like pro;dem|that prep|to pro;obj|him	|||	well he won 't like to play with you if you keep doing things like that to him
sure and sheep too	|||	adj|sure coord|and n|sheep post|too	|||	sure and sheep too
where did your foot go	|||	pro;rel|where v|do-PAST det;poss|your n|foot v|go	|||	where did your foot go
this must be the letter a	|||	pro;dem|this mod|must cop|be det;art|the n|letter n;let|a	|||	this must be the letter a
how many eyes	|||	adv;int|how qn|many n|eye-PL	|||	how many eyes
keep mitten on	|||	v|keep n|mitten adv|on	|||	keep mitten on
alright be careful	|||	co|alright aux|be co|careful	|||	alright be careful
let me have the cover	|||	v|let-ZERO pro;obj|me v|have det;art|the n|cover	|||	let me have the cover
in a trash can	|||	prep|in det;art|a n|trash mod|can	|||	in a trash can
you ~be the doggie who ran away	|||	pro;per|you aux|~be det;art|the n|dog-DIM pro;rel|who v|run-PAST adv|away	|||	you 're the doggie who ran away
why do ~not we not do that today	|||	adv;int|why mod|do neg|~not pro;sub|we neg|not v|do pro;dem|that adv;tem|today	|||	why don 't we not do that today
let Paul see	|||	v|let-ZERO n;prop|Paul v|see	|||	let Paul see
you goto-PRESP ~to bite it to pieces Rinny	|||	pro;per|you part|go+to-PRESP inf|~to v|bite pro;per|it prep|to n|piece-PL n;prop|Rinny	|||	you gonna  bite it to pieces Rinny
oh this is a house	|||	co|oh pro;dem|this cop|be-3S det;art|a n|house	|||	oh this is a house
well they do catch them	|||	co|well pro;sub|they mod|do v|catch pro;obj|them	|||	well they do catch them
that ~be a dairy	|||	pro;dem|that cop|~be det;art|a n|dairy	|||	that 's a dairy
oh who ~be the man	|||	co|oh pro;rel|who aux|~be det;art|the n|man	|||	oh who 's the man
I said what is a house_bird	|||	pro;sub|I v|say-PAST pro;int|what cop|be-3S det;art|a chi|house_bird	|||	I said what is a house_bird
what do you use the pliers for	|||	pro;int|what mod|do pro;per|you v|use det;art|the n;pt|pliers prep|for	|||	what do you use the pliers for
the tagalong man	|||	det;art|the n|tagalong n|man	|||	the tagalong man
the big thing	|||	det;art|the adj|big n|thing	|||	the big thing
do you remember David	|||	mod|do pro;per|you v|remember n;prop|David	|||	do you remember David
put it where it belongs	|||	v|put-ZERO pro;per|it pro;rel|where pro;per|it v|belong-3S	|||	put it where it belongs
oh you have big glasses	|||	co|oh pro;per|you v|have adj|big n|glass-PL	|||	oh you have big glasses
you play on the floor	|||	pro;per|you v|play prep|on det;art|the n|floor	|||	you play on the floor
I ~will get it started	|||	pro;sub|I mod|~will aux|get pro;per|it v|start-PAST	|||	I 'll get it started
open the whole thing	|||	v|open det;art|the adj|whole n|thing	|||	open the whole thing
Rin_tin_tin is the doggie	|||	n;prop|Rin_tin_tin cop|be-3S det;art|the n|dog-DIM	|||	Rin_tin_tin is the doggie
you ~be finished playing with it	|||	pro;per|you aux|~be v|finish-PAST n;gerund|play-PRESP prep|with pro;per|it	|||	you 're finished playing with it
yes he ~be sleeping	|||	co|yes pro;sub|he aux|~be part|sleep-PRESP	|||	yes he 's sleeping
oh you dropped your mitten	|||	co|oh pro;per|you v|drop-PAST det;poss|your n|mitten	|||	oh you dropped your mitten
I ~be looking for something	|||	pro;sub|I aux|~be part|look-PRESP prep|for pro;indef|something	|||	I 'm looking for something
I think we should leave that bridge down Adam	|||	pro;sub|I v|think pro;sub|we mod|should v|leave pro;dem|that n|bridge adv|down n;prop|Adam	|||	I think we should leave that bridge down Adam
it do ~not need a floor	|||	pro;per|it mod|do neg|~not v|need det;art|a n|floor	|||	it doesn 't need a floor
would you show me how	|||	mod|will-COND pro;per|you v|show pro;obj|me adv;int|how	|||	would you show me how
cranberry juice on your shirt	|||	n|cranberry n|juice prep|on det;poss|your n|shirt	|||	cranberry juice on your shirt
can you make the windmill go	|||	mod|can pro;per|you v|make det;art|the n|windmill v|go	|||	can you make the windmill go
on gun	|||	prep|on n|gun	|||	on gun
that ~be a real ticket	|||	pro;dem|that cop|~be det;art|a adj|real n|ticket	|||	that 's a real ticket
what about the lion Adam	|||	pro;int|what adv|about det;art|the n|lion n;prop|Adam	|||	what about the lion Adam
write on your paper	|||	v|write prep|on det;poss|your n|paper	|||	write on your paper
you know where we went yesterday	|||	pro;per|you v|know adv;int|where pro;sub|we v|go-PAST adv;tem|yesterday	|||	you know where we went yesterday
this long stem	|||	pro;dem|this adj|long n|stem	|||	this long stem
yes v is for what is that	|||	co|yes n;let|v cop|be-3S prep|for pro;int|what cop|be-3S pro;dem|that	|||	yes v is for what is that
because we need that on the door	|||	conj|because pro;sub|we v|need pro;dem|that prep|on det;art|the n|door	|||	because we need that on the door
they ~will cut you and hurt	|||	pro;sub|they mod|~will v|cut-ZERO pro;per|you coord|and v|hurt-ZERO	|||	they 'll cut you and hurt
find him	|||	v|find pro;obj|him	|||	find him
the same bell	|||	det;art|the adj|same n|bell	|||	the same bell
write that	|||	v|write pro;dem|that	|||	write that
well you can see it right here at home	|||	co|well pro;per|you mod|can v|see pro;per|it adv|right adv|here prep|at n|home	|||	well you can see it right here at home
somebody named Linda	|||	pro;indef|somebody v|name-PAST n;prop|Linda	|||	somebody named Linda
is that a purse	|||	cop|be-3S pro;rel|that det;art|a n|purse	|||	is that a purse
why is that Mr Pickle	|||	adv;int|why cop|be-3S pro;rel|that n;prop|Mr n;prop|Pickle	|||	why is that Mr Pickle
you could drill a hole through that	|||	pro;per|you mod|could v|drill det;art|a n|hole prep|through pro;dem|that	|||	you could drill a hole through that
yes dis this is Ursula ~s day	|||	co|yes pro;dem|this pro;dem|this cop|be-3S n;prop|Ursula poss|~s n|day	|||	yes dis this is Ursula 's day
to the city of Boston	|||	prep|to det;art|the n|city prep|of n;prop|Boston	|||	to the city of Boston
no Adam you ~have got parts of the sign on the floor there	|||	co|no n;prop|Adam pro;per|you aux|~have part|get-PASTP n|part-PL prep|of det;art|the n|sign prep|on det;art|the n|floor adv|there	|||	no Adam you 've got parts of the sign on the floor there
oh those poor eggs	|||	co|oh pro;dem|those adj|poor n|egg-PL	|||	oh those poor eggs
is that right Adam	|||	cop|be-3S pro;dem|that n|right n;prop|Adam	|||	is that right Adam
he looks like a mouse	|||	pro;sub|he cop|look-3S prep|like det;art|a n|mouse	|||	he looks like a mouse
there ~be one over there	|||	pro;exist|there cop|~be pro;indef|one adv|over adv|there	|||	there 's one over there
well then Urs must be Adam	|||	co|well adv;tem|then n;prop|Ursula mod|must cop|be n;prop|Adam	|||	well then Urs must be Adam
watch what you ~be doing	|||	v|watch pro;int|what pro;per|you aux|~be part|do-PRESP	|||	watch what you 're doing
box he says	|||	n|box pro;sub|he v|say-3S	|||	box he says
swim with you	|||	n|swim prep|with pro;per|you	|||	swim with you
you have an airplane in your shoe	|||	pro;per|you v|have det;art|a n|airplane prep|in det;poss|your n|shoe	|||	you have an airplane in your shoe
you did it yesterday do ~not you	|||	pro;per|you v|do-PAST pro;per|it adv;tem|yesterday mod|do neg|~not pro;per|you	|||	you did it yesterday didn 't you
did I scratch you with your arm	|||	mod|do-PAST pro;sub|I v|scratch pro;per|you prep|with det;poss|your n|arm	|||	did I scratch you with your arm
color kitten	|||	n|color n|kitten	|||	color kitten
is that the right one	|||	cop|be-3S pro;rel|that det;art|the adj|right pro;indef|one	|||	is that the right one
no I guess not	|||	co|no pro;sub|I n|guess neg|not	|||	no I guess not
is that coffee	|||	cop|be-3S pro;dem|that n|coffee	|||	is that coffee
but not boy babies	|||	conj|but neg|not n|boy v|baby-3S	|||	but not boy babies
because Indians have feathers around their brains	|||	conj|because n;prop|Indians v|have n|feather-PL prep|around det;poss|their n|brain-PL	|||	because Indians have feathers around their brains
what would you put in there	|||	pro;int|what mod|will-COND pro;per|you v|put-ZERO adv|in adv|there	|||	what would you put in there
does everybody have icecream	|||	mod|do-3S pro;indef|everybody v|have n|ice+cream	|||	does everybody have ice
why would you do that	|||	adv;int|why mod|will-COND pro;per|you v|do pro;dem|that	|||	why would you do that
are your hands washed	|||	cop|be-PRES det;poss|your n|hand-PL v|wash-PAST	|||	are your hands washed
Adam what did you see at the airport	|||	n;prop|Adam pro;int|what mod|do-PAST pro;per|you v|see prep|at det;art|the n|airport	|||	Adam what did you see at the airport
did he have lots_of friends or was he lonely	|||	mod|do-PAST pro;sub|he v|have qn|lots_of n|friend-PL coord|or cop|be-PAST pro;sub|he adv|lone-dadj	|||	did he have lots_of friends or was he lonely
does it go in there	|||	mod|do-3S pro;per|it v|go prep|in adv|there	|||	does it go in there
yes she has a name now	|||	co|yes pro;sub|she v|have-3S det;art|a n|name adv|now	|||	yes she has a name now
no I do ~not think I have one	|||	co|no pro;sub|I mod|do neg|~not v|think pro;sub|I v|have pro;indef|one	|||	no I don 't think I have one
do ~not Daddy say do ~not play back there	|||	mod|do neg|~not n;prop|Daddy v|say mod|do neg|~not v|play adv|back adv|there	|||	didn 't Daddy say don 't play back there
the pilot drives the spaceship see	|||	det;art|the n|pilot v|drive-3S det;art|the n|space+ship v|see	|||	the pilot drives the spaceship see
a sewing goes like that	|||	det;art|a part|sew-PRESP v|go-3S prep|like pro;dem|that	|||	a sewing goes like that
the turtle making mud pies	|||	det;art|the n|turtle part|make-PRESP n|mud n|pie-PL	|||	the turtle making mud pies
what ~be in your mouth	|||	pro;int|what cop|~be prep|in det;poss|your n|mouth	|||	what 's in your mouth
why are those men driving	|||	adv;int|why aux|be-PRES pro;dem|those n|man-PL part|drive-PRESP	|||	why are those men driving
no this is blue	|||	qn|no pro;dem|this cop|be-3S adj|blue	|||	no this is blue
that ~be an armored car truck	|||	pro;dem|that cop|~be det;art|a part|armor-PASTP n|car n|truck	|||	that 's an armored car truck
turkey pie	|||	n|turkey n|pie	|||	turkey pie
let ~us go find Perro	|||	v;obj|let pro;obj|~us v|go v|find n;prop|Perro	|||	let 's go find Perro
they taste salty and delicious	|||	pro;sub|they v|taste adj|salt-dn coord|and adj|delicious	|||	they taste salty and delicious
these are tea cakes	|||	pro;dem|these cop|be-PRES n|tea n|cake-PL	|||	these are tea cakes
what about what	|||	pro;int|what prep|about pro;int|what	|||	what about what
no I do ~not need any sugar thank_you	|||	co|no pro;sub|I mod|do neg|~not v|need qn|any n|sugar n|thank_you	|||	no I don 't need any sugar thank_you
remember how we play the surprise game	|||	v|remember adv;int|how pro;sub|we v|play det;art|the adj|surprise n|game	|||	remember how we play the surprise game
you missed that	|||	pro;per|you v|miss-PAST pro;dem|that	|||	you missed that
no not if he ~be careful	|||	co|no neg|not conj|if pro;sub|he aux|~be co|careful	|||	no not if he 's careful
you caught it	|||	pro;per|you v|catch-PAST pro;per|it	|||	you caught it
four quarts of milk and two pounds of butter	|||	det;num|four n|quart-PL prep|of n|milk coord|and det;num|two n|pound-PL prep|of n|butter	|||	four quarts of milk and two pounds of butter
or a	|||	coord|or det;art|a	|||	or a
Paul ~s name begins with a p	|||	n;prop|Paul poss|~s n|name v|begin-3S prep|with det;art|a n;let|p	|||	Paul 's name begins with a p
he will ~not be able to write anymore	|||	pro;sub|he mod|will neg|~not cop|be adj|able inf|to v|write adv|anymore	|||	he won 't be able to write anymore
the tape recorder	|||	det;art|the n|tape n|record-dv	|||	the tape recorder
have some chocolate	|||	v|have qn|some n|chocolate	|||	have some chocolate
I ~genmod like a hamburger	|||	pro;sub|I mod|~genmod prep|like det;art|a n|hamburger	|||	I 'd like a hamburger
it ~be gone down the street	|||	pro;per|it aux|~be part|go-PASTP prep|down det;art|the n|street	|||	it 's gone down the street
are you pulling your dog	|||	cop|be-PRES pro;per|you part|pull-PRESP det;poss|your n|dog	|||	are you pulling your dog
oh look up the cowboy ~s hat	|||	co|oh co|look prep|up det;art|the n|cow+boy poss|~s n|hat	|||	oh look up the cowboy 's hat
and what else	|||	coord|and pro;int|what post|else	|||	and what else
want a little water	|||	v|want det;art|a adj|little n|water	|||	want a little water
I think perhaps something is missing	|||	pro;sub|I v|think adv|perhaps pro;indef|something aux|be-3S part|miss-PRESP	|||	I think perhaps something is missing
you ~be excused	|||	pro;per|you aux|~be part|excuse-PASTP	|||	you 're excused
I see where it goes	|||	pro;sub|I v|see pro;rel|where pro;per|it v|go-3S	|||	I see where it goes
no d	|||	qn|no n;let|d	|||	no d
does it look like one	|||	mod|do-3S pro;per|it cop|look conj|like pro;indef|one	|||	does it look like one
now both lights are on	|||	adv|now qn|both n|light-PL cop|be-PRES prep|on	|||	now both lights are on
she also bought a	|||	pro;sub|she adv|also v|buy-PAST det;art|a	|||	she also bought a
you ~be building a house	|||	pro;per|you aux|~be part|build-PRESP det;art|a n|house	|||	you 're building a house
d you want to tell me about it	|||	mod|do pro;per|you v|want inf|to v|tell pro;obj|me prep|about pro;per|it	|||	d you want to tell me about it
where did you magic them to	|||	adv;int|where mod|do-PAST pro;per|you chi|magic pro;obj|them prep|to	|||	where did you magic them to
I ~genmod probably forget their names	|||	pro;sub|I mod|~genmod adv|probable-dadj v|forget det;poss|their n|name-PL	|||	I 'd probably forget their names
do ~not hit anybody with that Adam	|||	mod|do neg|~not n|hit pro;indef|anybody prep|with det;dem|that n;prop|Adam	|||	don 't hit anybody with that Adam
looks like a spear do ~not it	|||	cop|look-3S prep|like det;art|a n|spear mod|do neg|~not pro;per|it	|||	looks like a spear doesn 't it
what are you	|||	pro;int|what aux|be-PRES pro;per|you	|||	what are you
oh you ~be shoveling the snow off	|||	co|oh pro;per|you aux|~be part|shovel-PRESP det;art|the n|snow adv|off	|||	oh you 're shoveling the snow off
his nose will ~not squeak	|||	det;poss|his n|nose mod|will neg|~not v|squeak	|||	his nose won 't squeak
Adam ~s what	|||	n;prop|Adam poss|~s pro;int|what	|||	Adam 's what
metal comes from under the ground	|||	n|metal v|come-3S prep|from prep|under det;art|the n|ground	|||	metal comes from under the ground
I guess it ~be misplaced	|||	pro;sub|I v|guess pro;per|it aux|~be part|place-PASTP	|||	I guess it 's misplaced
you ~be going to beat me all up	|||	pro;per|you aux|~be part|go-PRESP prep|to n|beat pro;obj|me post|all adv|up	|||	you 're going to beat me all up
he went to the mountains for the summer	|||	pro;sub|he v|go-PAST prep|to det;art|the n|mountain-PL prep|for det;art|the n|summer	|||	he went to the mountains for the summer
come measure the door	|||	v|come v|measure det;art|the n|door	|||	come measure the door
do ~not hit my fingers	|||	mod|do neg|~not v|hit-ZERO det;poss|my n|finger-PL	|||	don 't hit my fingers
it ~be dusty and dirty	|||	pro;per|it cop|~be adj|dust-dn coord|and adj|dirt-dn	|||	it 's dusty and dirty
it looks like you ~be there	|||	pro;per|it cop|look-3S conj|like pro;per|you cop|~be adv|there	|||	it looks like you 're there
do ~not jump	|||	mod|do neg|~not v|jump	|||	don 't jump
I do ~not hear you ask her if you could open that	|||	pro;sub|I mod|do neg|~not v|hear pro;per|you v|ask pro;obj|her conj|if pro;per|you mod|could adj|open pro;dem|that	|||	I didn 't hear you ask her if you could open that
he ~be going to be a nurse and you ~be going to be a doctor	|||	pro;sub|he aux|~be part|go-PRESP inf|to cop|be det;art|a n|nurse coord|and pro;per|you aux|~be part|go-PRESP inf|to cop|be det;art|a n|doctor	|||	he 's going to be a nurse and you 're going to be a doctor
yes thank_you	|||	co|yes n|thank_you	|||	yes thank_you
